a	aː
mismuninum	m ɪː s m ʏ n ɪ n ʏ m
mismunun	m ɪː s m ʏ n ʏ n
mismunur	m ɪː s m ʏ n ʏ r
mismunurinn	m ɪː s m ʏ n ʏ r ɪ n
mismælt	m ɪː s m ai l̥ t
misnotað	m ɪː s t n ɔ t a ð
misnotaðir	m ɪː s t n ɔ t a ð ɪ r
misnotkun	m ɪː s t n ɔ t k ʏ n
misnotuð	m ɪː s t n ɔ t ʏ ð
misnotuðu	m ɪː s t n ɔ t ʏ ð ʏ
misnæmir	m ɪː s t n ai m ɪ r
misorkurík	m ɪː s ɔ r̥ k ʏ r i k
misreikna	m ɪː s r ei h k n a
misreiknað	m ɪː s r ei h k n a ð
misráðið	m ɪː s r auː ð ɪ ð
misræmi	m ɪː s r ai m ɪ
misræmið	m ɪː s r ai m ɪ ð
misréttið	m ɪː s r j ɛ h t ɪ ð
miss	m ɪ s
missa	m ɪ s a
missera	m ɪ s ɛ r a
misseri	m ɪ s ɛ r ɪ
misserin	m ɪ s ɛ r ɪ n
misseristalið	m ɪ s ɛ r ɪ s t a l ɪ ð
misserisvindar	m ɪ s ɛ r ɪ s v ɪ n t a r
misserum	m ɪ s ɛ r ʏ m
missi	m ɪ s ɪ
missir	m ɪ s ɪ r
misskildi	m ɪː s c ɪ l t ɪ
misskilinn	m ɪː s c ɪ l ɪ n
misskilið	m ɪ s c ɪː l ɪ ð
misskilja	m ɪː s c ɪ l j a
misskilning	m ɪː s c ɪ l n i ŋ k
misskilnings	m ɪː s c ɪ l n i ŋ k s
misskilningur	m ɪː s c ɪ l n i ŋ k ʏ r
misskilningurinn	m ɪː s c ɪ l n i ŋ k ʏ r ɪ n
misskilur	m ɪː s c ɪ l ʏ r
misskipting	m ɪː s c ɪ f t i ŋ k
misskiptingar	m ɪː s c ɪ f t i ŋ k a r
misskiptingin	m ɪː s c ɪ f t i ɲ c ɪ n
missleipir	m ɪ s t l ei h p ɪ r
misst	m ɪ s t
missterkir	m ɪ s t ɛ r̥ c ɪ r
missti	m ɪ s t ɪ
misstir	m ɪ s t ɪ r
misstu	m ɪ s t ʏ
misstum	m ɪ s t ʏ m
misstíga	m ɪ s t i ɣ a
misstígur	m ɪ s t iː ɣ ʏ r
misstór	m ɪ s t ouː r
misstórar	m ɪ s t ouː r a r
misstórir	m ɪ s t ouː r ɪ r
misstórum	m ɪ s t ouː r ʏ m
missum	m ɪ s ʏ m
missögn	m ɪ s œ k n̥
missýnir	m ɪ s i n ɪ r
mist	m ɪ s t
mistaka	m ɪː s t a k a
mistakist	m ɪː s t a c ɪ s t
mistekist	m ɪː s t ɛ c ɪ s t
mistekst	m ɪː s t ɛ k s t
mister	m ɪː s t ɛ r
mistilteinninn	m ɪː s t ɪ l̥ t ei t n ɪ n
mistrinu	m ɪ s t r ɪ n ʏ
mistur	m ɪ s t ʏ r
mistursteppi	m ɪː s t ʏ r̥ s t ɛ h p ɪ
mistækist	m ɪː s t aiː c ɪ s t
mistókst	m ɪː s t ou k s t
mistókust	m ɪː s t ou k ʏ s t
mistök	m ɪː s t œ k
mistökin	m ɪː s t œ c ɪ n
mistökum	m ɪː s t œ k ʏ m
mistúlkun	m ɪː s t u l̥ k ʏ n
misunderstandings	m ɪː s ʏ n t ɛ r̥ s t a n t i ŋ s
misuses	m ɪː s ʏ s ɛː s
misvel	m ɪː s v ɛ l
misvelkomnir	m ɪː s v ɛ l k ɔ m n ɪ r
misvotir	m ɪː s v ɔː t ɪ r
misvægi	m ɪː s v ai j ɪ
misvísandi	m ɪː s v i s a n t ɪ
misvísunin	m ɪː s v i s ʏ n ɪ n
misyndismenn	m ɪː s ɪ n t ɪ s m ɛ n
misáreiðanleg	m ɪː s auː r ei ð a n l ɛ ɣ
misáreiðanlegar	m ɪː s auː r ei ð a n l ɛ ɣ a r
misþroska	m ɪː s θ r ɔ s k a
misþungt	m ɪː s θ u ŋ̊ t
misþykkan	m ɪː s θ ɪ h k a n
misþykkt	m ɪː s θ ɪ x t
misþyrmt	m ɪː s θ ɪ r̥ m̥ t
mit	m ɪː t
mitt	m ɪ h t
mitti	m ɪ h t ɪ
mittismál	m ɪ h t ɪ s m au l
mittið	m ɪ h t ɪ ð
mixtúra	m ɪ k s t u r a
mið	m ɪ ð
miða	m ɪː ð a
miðaftan	m ɪː ð a f t a n
miðaftansbænin	m ɪː ð a f t a n s p ai n ɪ n
miðaftansholt	m ɪː ð a f t a n s h ɔ l̥ t
miðaftanshólagil	m ɪː ð a f t a n s h ou l ai j ɪ l
miðaftanshóll	m ɪː ð a f t a n s h ou t l̥
miðaftanshögg	m ɪː ð a f t a n s h œ k
miðaftanskista	m ɪː ð a f t a n s c ɪ s t a
miðaftansklettar	m ɪː ð a f t a n s k l ɛ h t a r
miðaftanslaut	m ɪː ð a f t a n s t l œyː t
miðaftanssteinar	m ɪː ð a f t a n s t ei n a r
miðaftanstindur	m ɪː ð a f t a n s t ɪ n t ʏ r
miðaftansvarða	m ɪː ð a f t a n s v a r ð a
miðalda	m ɪː ð a l t a
miðaldabókmenntir	m ɪː ð a l t a p ouː k m ɛ n̥ t ɪ r
miðaldabörn	m ɪː ð a l t a p œ r t n̥
miðaldafræðinga	m ɪː ð a l t a f r aiː ð i ŋ k a
miðaldafólks	m ɪː ð a l t a f ou l̥ k s
miðaldahandritum	m ɪː ð a l t a h a n t r ɪ t ʏ m
miðaldaheimilda	m ɪː ð a l t a h eiː m ɪ l t a
miðaldaheimildum	m ɪː ð a l t a h eiː m ɪ l t ʏ m
miðaldakvæðinu	m ɪː ð a l t a k v ai ð ɪ n ʏ
miðaldalatínu	m ɪː ð a l t a l a t iː n ʏ
miðaldalegt	m ɪː ð a l t a l ɛ x t
miðaldariddara	m ɪː ð a l t a r ɪ t a r a
miðaldaritum	m ɪː ð a l t a r ɪ t ʏ m
miðaldasagan	m ɪː ð a l t a s aː ɣ a n
miðaldasagna	m ɪː ð a l t a s a k n a
miðaldatexta	m ɪː ð a l t a tʰ ɛ k s t a
miðaldatextans	m ɪː ð a l t a tʰ ɛ k s t a n s
miðaldatextar	m ɪː ð a l t a tʰ ɛ k s t a r
miðaldatextum	m ɪː ð a l t a tʰ ɛ k s t ʏ m
miðaldavarðveislan	m ɪː ð a l t aː v a r ð v ei s t l a n
miðaldir	m ɪː ð a l t ɪ r
miðaldirnar	m ɪː ð a l t ɪ t n a r
miðaldra	m ɪː ð a l t r a
miðann	m ɪː ð a n
miðans	m ɪː ð a n s
miðanum	m ɪː ð a n ʏ m
miðar	m ɪː ð a r
miðarnir	m ɪː ð a t n ɪ r
miðast	m ɪː ð a s t
miðaustur	m ɪː ð œy s t ʏ r
miðausturlanda	m ɪː ð œy s t ʏ r l a n t a
miðausturlönd	m ɪː ð œy s t ʏ r l œ n t
miðausturlöndum	m ɪː ð œy s t ʏ r l œ n t ʏ m
miðaverð	m ɪː ð a v ɛ r ð
miðaverði	m ɪː ð a v ɛ r ð ɪ
miðað	m ɪː ð a ð
miðaði	m ɪː ð a ð ɪ
miðbali	m ɪ ð p aː l ɪ
miðbaug	m ɪ ð p œyː ɣ
miðbauginn	m ɪ ð p œy j ɪ n
miðbaugs	m ɪ ð p œy x s
miðbaugur	m ɪ ð p œyː ɣ ʏ r
miðbik	m ɪ ð p ɪ k
miðbikið	m ɪ ð p ɪ c ɪ ð
miðbjarg	m ɪ ð p j a r k
miðborg	m ɪ ð p ɔ r k
miðborgarinnar	m ɪ ð p ɔ r k a r ɪ n a r
miðborgin	m ɪ ð p ɔ r c ɪ n
miðborginni	m ɪ ð p ɔ r c ɪ n ɪ
miðborðið	m ɪ ð p ɔ r ð ɪ ð
miðbotnafjall	m ɪ ð p ɔ h t n a f j a t l̥
miðbotnsklitur	m ɪ ð p ɔ h t n̥ s k l ɪ t ʏ r
miðbringudý	m ɪ ð p r i ŋ k ʏ t i
miðbæ	m ɪ ð p ai
miðbæinn	m ɪ ð p ai j ɪ n
miðbæjargjá	m ɪ ð p ai j a r c auː
miðbæjarkinn	m ɪ ð p ai j a r c ɪ n
miðbæjarslétta	m ɪ ð p ai j a r s t l j ɛ h t a
miðbæjarvík	m ɪ ð p ai j a r v i k
miðbælisbakkar	m ɪ ð p ai l ɪ s p a h k a r
miðbænum	m ɪ ð p ai n ʏ m
miðbær	m ɪ ð p ai r
miðbærinn	m ɪ ð p ai r ɪ n
miðdagsetning	m ɪ ð t a x s ɛ h t n i ŋ k
miðdalsbreiða	m ɪ ð t a l s p r ei ð a
miðdalsbrún	m ɪ ð t a l s p r u n
miðdalsbót	m ɪ ð t a l s p ou t
miðdalsfjall	m ɪ ð t a l s f j a t l̥
miðdalsgljúfur	m ɪ ð t a l s k l j u v ʏ r
miðdalshnjúkur	m ɪ ð t a l s n̥ j uː k ʏ r
miðdalsskersli	m ɪ ð t a l s c ɛ r̥ s t l ɪ
miðdalur	m ɪ ð t aː l ʏ r
miðdegishnúkur	m ɪ ð t ei j ɪ s n̥ uː k ʏ r
miðdegishyrna	m ɪ ð t ei j ɪ s h ɪ r t n a
miðdegishóll	m ɪ ð t ei j ɪ s h ou t l̥
miðdegislág	m ɪ ð t ei j ɪ s t l au h
miðdegislágarbotn	m ɪ ð t ei j ɪ s t l auː a r p ɔ h t n̥
miðdegismýri	m ɪ ð t ei j ɪ s m iː r ɪ
miðdegisskarð	m ɪ ð t ei j ɪ s k a r ð
miðdegisvarða	m ɪ ð t ei j ɪ s v a r ð a
miðdrag	m ɪ ð t r a ɣ
miðdölum	m ɪ ð t œː l ʏ m
miðdý	m ɪ ð t i
miðeind	m ɪː ð ei n t
miðeindir	m ɪː ð ei n t ɪ r
miðengi	m ɪː ð ei ɲ c ɪ
miðengishólar	m ɪː ð ei ɲ c ɪ s h ou l a r
miðengissteinn	m ɪː ð ei ɲ c ɪ s t ei t n̥
miðengisstykki	m ɪː ð ei ɲ c ɪ s t ɪ h c ɪ
miðerindið	m ɪː ð ɛː r ɪ n t ɪ ð
miðeyjarmýri	m ɪː ð ei j a r m iː r ɪ
miðeyjartjörn	m ɪː ð ei j a r t j œ r t n̥
miðeyrað	m ɪː ð ei r a ð
miðfarvegsalda	m ɪ ð f a r v ɛ ɣ s a l t a
miðfell	m ɪ ð f ɛ t l̥
miðfellsbotn	m ɪ ð f ɛ l s p ɔ h t n̥
miðfellsflatir	m ɪ ð f ɛ l s f l aː t ɪ r
miðfellshraun	m ɪ ð f ɛ l s r̥ œyː n
miðfellsmýri	m ɪ ð f ɛ l s m iː r ɪ
miðfellstangar	m ɪ ð f ɛ l s t au ŋ k a r
miðfellstangi	m ɪ ð f ɛ l s t au ɲ c ɪ
miðfellsá	m ɪ ð f ɛ l s auː
miðfellsárfoss	m ɪ ð f ɛ l s au r̥ f ɔ s
miðfingurna	m ɪ ð f i ŋ k ʏ t n a
miðfirði	m ɪ ð f ɪ r ð ɪ
miðfitjaflói	m ɪ ð f ɪ t j a f l ouː ɪ
miðfjall	m ɪ ð f j a t l̥
miðfjallsflóð	m ɪ ð f j a l s f l ou ð
miðfjarðar	m ɪ ð f j a r ð a r
miðfjarðarboði	m ɪ ð f j a r ð a r p ɔ ð ɪ
miðfjarðarkofi	m ɪ ð f j a r ð a r k ɔ v ɪ
miðfjarðarárós	m ɪ ð f j a r ð a r auː r ou s
miðfláafjall	m ɪ ð f l auː a f j a t l̥
miðflóttakrafti	m ɪ ð f l ou h t a k r a f t ɪ
miðflóttakraftur	m ɪ ð f l ou h t a k r a f t ʏ r
miðfoss	m ɪ ð f ɔ s
miðgarð	m ɪ ð k a r ð
miðgarðakirkja	m ɪ ð k a r ð a c ɪ r̥ c a
miðgarðar	m ɪ ð k a r ð a r
miðgarði	m ɪ ð k a r ð ɪ
miðgarðsorm	m ɪ ð k a r ð s ɔ r m
miðgarðsorminn	m ɪ ð k a r ð s ɔ r m ɪ n
miðgarðsormur	m ɪ ð k a r ð s ɔ r m ʏ r
miðgata	m ɪ ð k a t a
miðgerði	m ɪ ð c ɛ r ð ɪ
miðgilseyrar	m ɪ ð c ɪ l s ei r a r
miðgilsflái	m ɪ ð c ɪ l s f l auː ɪ
miðgilsfoss	m ɪ ð c ɪ l s f ɔ s
miðgilsklofi	m ɪ ð c ɪ l s kʰ l ɔː v ɪ
miðgilsskriða	m ɪ ð c ɪ l s k r ɪ ð a
miðgjörð	m ɪ ð c œ r ð
miðgrund	m ɪ ð k r ʏ n t
miðgötur	m ɪ ð k œ t ʏ r
miðhagi	m ɪː ð h ai j ɪ
miðhandarbein	m ɪː ð h a n t a r p ei n
miðheilann	m ɪː ð h ei l a n
miðheiðarhnjúkur	m ɪː ð h ei ð a r n̥ j uː k ʏ r
miðheiðarnef	m ɪː ð h ei ð a r n ɛː v
miðhhús	m ɪː ð h h u s
miðhjallabrún	m ɪː ð ç a t l a p r u n
miðhjallar	m ɪː ð ç a t l a r
miðhjáleiga	m ɪː ð ç au l eiː ɣ a
miðhlaupshraun	m ɪ ð l̥ œy p s r̥ œyː n
miðhlaupsmýrar	m ɪ ð l̥ œy p s m i r a r
miðhluta	m ɪ ð l̥ ʏ t a
miðhluti	m ɪ ð l̥ ʏː t ɪ
miðhlutinn	m ɪ ð l̥ ʏː t ɪ n
miðhlíð	m ɪ ð l̥ iː ð
miðhlíðagil	m ɪ ð l̥ i ð a c ɪ l
miðholt	m ɪː ð h ɔ l̥ t
miðholtabrýr	m ɪː ð h ɔ l̥ t a p r iː r
miðholtsmýri	m ɪː ð h ɔ l̥ t s m iː r ɪ
miðhraunsmýri	m ɪ ð r̥ œy n s m iː r ɪ
miðhrósflaga	m ɪ ð r̥ ouː s f l aː ɣ a
miðhróskíll	m ɪ ð r̥ ouː s c i t l̥
miðhvammaskarð	m ɪː ð k v a m a s k a r ð
miðhvammsengi	m ɪː ð kʰ v a m s ei ɲ c ɪ
miðhvammsmór	m ɪː ð kʰ v a m s m ou r
miðhvolf	m ɪː ð k v ɔ l v
miðhvolfinu	m ɪː ð k v ɔ l v ɪ n ʏ
miðhálendi	m ɪː ð h auː l ɛ n t ɪ
miðhæðinni	m ɪː ð h ai ð ɪ n ɪ
miðhólf	m ɪː ð h ou l v
miðhóll	m ɪː ð h ou t l̥
miðhólmahorn	m ɪː ð h ou l m a h ɔ t n̥
miðhólmi	m ɪː ð h ou l m ɪ
miðhólslaut	m ɪː ð h ou l s t l œyː t
miðhólstangi	m ɪː ð h ou l s t au ɲ c ɪ
miðhópsborgir	m ɪː ð h ou p s p ɔ r c ɪ r
miðhögg	m ɪː ð h œ k
miðhús	m ɪː ð h u s
miðhúsaflatir	m ɪː ð h u s a f l aː t ɪ r
miðhúsagarður	m ɪː ð h u s a k a r ð ʏ r
miðhúsagerði	m ɪː ð h u s a c ɛ r ð ɪ
miðhúsahöfði	m ɪː ð h u s a h œ v ð ɪ
miðhúsaland	m ɪː ð h u s a l a n t
miðhúsalækur	m ɪː ð h u s a l aiː k ʏ r
miðhúsasel	m ɪː ð h u s a s ɛː l
miðhúsatjörn	m ɪː ð h u s a t j œ r t n̥
miðhúsavegur	m ɪː ð h u s a v ɛː ɣ ʏ r
miðhúsaás	m ɪː ð h u s a au s
miðhúshólmi	m ɪː ð h u s h ou l m ɪ
miði	m ɪː ð ɪ
miðill	m ɪː ð ɪ t l̥
miðils	m ɪː ð ɪ l s
miðilsfundi	m ɪː ð ɪ l s f ʏ n t ɪ
miðilsstörf	m ɪː ð ɪ l s t œ r v
miðinn	m ɪː ð ɪ n
miðið	m ɪː ð ɪ ð
miðja	m ɪ ð j a
miðjan	m ɪ ð j a n
miðjann	m ɪ ð j a n
miðjar	m ɪ ð j a r
miðjarðarhaf	m ɪ ð j a r ð a r h aː v
miðjarðarhafi	m ɪ ð j a r ð a r h aː v ɪ
miðjarðarhafinu	m ɪ ð j a r ð a r h aː v ɪ n ʏ
miðjarðarhafið	m ɪ ð j a r ð a r h aː v ɪ ð
miðjarðarhafs	m ɪ ð j a r ð a r h a f s
miðjarðarhafsbláum	m ɪ ð j a r ð a r h a f s p l au ʏ m
miðjarðarhafsins	m ɪ ð j a r ð a r h a f s ɪ n s
miðjarðarhafslanda	m ɪ ð j a r ð a r h a f s t l a n t a
miðjarðarhafsloftslags	m ɪ ð j a r ð a r h a f s t l ɔ f t s t l a x s
miðjarðarhafslöndin	m ɪ ð j a r ð a r h a f s t l œ n t ɪ n
miðjarðarhafssvæðinu	m ɪ ð j a r ð a r h aː v s v ai ð ɪ n ʏ
miðjarðarsjó	m ɪ ð j a r ð a r s j ouː
miðju	m ɪ ð j ʏ
miðjum	m ɪ ð j ʏ m
miðjumann	m ɪ ð j ʏ m a n
miðjumanninn	m ɪ ð j ʏ m a n ɪ n
miðjumannsins	m ɪ ð j ʏ m a n s ɪ n s
miðjumaður	m ɪ ð j ʏ m aː ð ʏ r
miðjumaðurinn	m ɪ ð j ʏ m aː ð ʏ r ɪ n
miðjumönnunum	m ɪ ð j ʏ m œ n ʏ n ʏ m
miðjuna	m ɪ ð j ʏ n a
miðjunni	m ɪ ð j ʏ n ɪ
miðjuskor	m ɪ ð j ʏ s k ɔ r
miðjusætið	m ɪ ð j ʏ s aiː t ɪ ð
miðkast	m ɪ ð k a s t
miðkegrahóll	m ɪ ð cʰ ɛ ɣ r a h ou t l̥
miðkerling	m ɪ ð cʰ ɛ t l i ŋ k
miðkimi	m ɪ ð cʰ ɪː m ɪ
miðkjarna	m ɪ ð cʰ a r t n a
miðkjarni	m ɪ ð cʰ a r t n ɪ
miðklettar	m ɪ ð k l ɛ h t a r
miðklettasund	m ɪ ð k l ɛ h t a s ʏ n t
miðkot	m ɪ ð k ɔ t
miðkrókakriki	m ɪ ð k r ouː k a k r ɪː c ɪ
miðkrókur	m ɪ ð k r ouː k ʏ r
miðkvísl	m ɪ ð k v i s t l̥
miðla	m ɪ ð l a
miðlaginu	m ɪ ð l ai j ɪ n ʏ
miðlandahilluhald	m ɪ ð l a n t a h ɪ t l ʏ h a l t
miðlandsá	m ɪ ð l a n t s au
miðlar	m ɪ ð l a r
miðlarinn	m ɪ ð l a r ɪ n
miðlað	m ɪ ð l a ð
miðleitisgjá	m ɪ ð l ei t ɪ s c auː
miðleiðarsker	m ɪ ð l ei ð a r̥ s c ɛ r
miðleiði	m ɪ ð l ei ð ɪ
miðleiðisalda	m ɪ ð l ei ð ɪ s a l t a
miðloka	m ɪ ð l ɔ k a
miðlum	m ɪ ð l ʏ m
miðlunar	m ɪ ð l ʏ n a r
miðlunarrými	m ɪ ð l ʏ n a r i m ɪ
miðlungi	m ɪ ð l u ɲ c ɪ
miðlungshjallabrýr	m ɪ ð l u ŋ s ç a t l a p r iː r
miðlungshjallastafn	m ɪ ð l u ŋ s ç a t l a s t a p n̥
miðlungshæð	m ɪ ð l u ŋ s h aiː ð
miðlungur	m ɪ ð l u ŋ k ʏ r
miðlágabollar	m ɪ ð l au k aː p ɔ t l a r
miðlágþýsku	m ɪ ð l au k θ i s k ʏ
miðlæg	m ɪ ð l ai ɣ
miðlægara	m ɪ ð l ai ɣ a r a
miðlægt	m ɪ ð l ai x t
miðlífsaldar	m ɪ ð l i f s a l t a r
miðlífsöld	m ɪ ð l i f s œ l t
miðmelabót	m ɪ ð m ɛː l a p ouː t
miðmelar	m ɪ ð m ɛː l a r
miðmorgunsalda	m ɪ ð m ɔ r k ʏ n s a l t a
miðmorgunsgil	m ɪ ð m ɔ r k ʏ n s c ɪ l
miðmorgunshnúkur	m ɪ ð m ɔ r k ʏ n s n̥ uː k ʏ r
miðmorgunshæð	m ɪ ð m ɔ r k ʏ n s h aiː ð
miðmorgunsmelur	m ɪ ð m ɔ r k ʏ n s m ɛː l ʏ r
miðmorgunstorfa	m ɪ ð m ɔ r k ʏ n s t ɔ r v a
miðmundaborg	m ɪ ð m ʏ n t a p ɔ r k
miðmundafell	m ɪ ð m ʏ n t a f ɛ t l̥
miðmundagil	m ɪ ð m ʏ n t a c ɪ l
miðmundahæð	m ɪ ð m ʏ n t a h aiː ð
miðmundakriki	m ɪ ð m ʏ n t a k r ɪː c ɪ
miðmundalautir	m ɪ ð m ʏ n t a l œyː t ɪ r
miðmundalækir	m ɪ ð m ʏ n t a l aiː c ɪ r
miðmundalækur	m ɪ ð m ʏ n t a l aiː k ʏ r
miðmundamelur	m ɪ ð m ʏ n t a m ɛː l ʏ r
miðmundamýri	m ɪ ð m ʏ n t a m iː r ɪ
miðmundarflag	m ɪ ð m ʏ n t a r f l a ɣ
miðmundarflötur	m ɪ ð m ʏ n t a r f l œ t ʏ r
miðmundargangur	m ɪ ð m ʏ n t a r k au ŋ k ʏ r
miðmundarholt	m ɪ ð m ʏ n t a r h ɔ l̥ t
miðmundarsnös	m ɪ ð m ʏ n t a r s t n œ s
miðmundartangi	m ɪ ð m ʏ n t a r tʰ au ɲ c ɪ
miðmundarárbotnar	m ɪ ð m ʏ n t a r au r p ɔ h t n a r
miðmundastapi	m ɪ ð m ʏ n t a s t aː p ɪ
miðmundasteinn	m ɪ ð m ʏ n t a s t ei t n̥
miðmundavatn	m ɪ ð m ʏ n t a v a h t n̥
miðmundi	m ɪ ð m ʏ n t ɪ
miðnefnd	m ɪ ð n ɛ m t
miðnes	m ɪ ð n ɛ s
miðnesdæl	m ɪ ð n ɛ s t aiː l
miðnesfjara	m ɪ ð n ɛ s f j a r a
miðnesheiði	m ɪ ð n ɛ s h eiː ð ɪ
miðneshreppi	m ɪ ð n ɛ s r̥ ɛ h p ɪ
miðneshólseyri	m ɪ ð n ɛ s h ou l s ei r ɪ
miðnesið	m ɪ ð n ɛː s ɪ ð
miðnessjór	m ɪ ð n ɛ s j ouː r
miðnætti	m ɪ ð n ai h t ɪ
miðnættis	m ɪ ð n ai h t ɪ s
miðnættið	m ɪ ð n ai h t ɪ ð
miðnætursólina	m ɪ ð n ai t ʏ r s ouː l ɪ n a
miðnæturtunglið	m ɪ ð n aiː t ʏ r t u ŋ k l ɪ ð
miðpalli	m ɪ ð p a l ɪ
miðpartsheystæði	m ɪ ð p a r̥ s h ei s t ai ð ɪ
miðpartur	m ɪ ð p a r̥ t ʏ r
miðpunkta	m ɪ ð p u ŋ̊ t a
miðpunkti	m ɪ ð p u ŋ̊ t ɪ
miðpunktur	m ɪ ð p u ŋ̊ t ʏ r
miðrekar	m ɪ ð r ɛ k a r
miðri	m ɪ ð r ɪ
miðrimatjarnir	m ɪ ð r ɪ m a tʰ j a t n ɪ r
miðrjóður	m ɪ ð r j ou ð ʏ r
miðríki	m ɪ ð r i c ɪ
miðríkisins	m ɪ ð r i c ɪ s ɪ n s
miðrófuvarða	m ɪ ð r ouː ʏ v a r ð a
miðs	m ɪ ð s
miðsandfell	m ɪ ð s a n t f ɛ t l̥
miðsandsá	m ɪ ð s a n t s au
miðsandur	m ɪ ð s a n t ʏ r
miðseil	m ɪ ð s eiː l
miðsellandalækur	m ɪ ð s ɛ t l a n t a l aiː k ʏ r
miðskekkjan	m ɪ ð s c ɛ h c a n
miðsker	m ɪ ð s c ɛ r
miðskjól	m ɪ ð s c ou l
miðskyggnir	m ɪ ð s c ɪ k n ɪ r
miðskál	m ɪ ð s k auː l
miðskálatungur	m ɪ ð s k au l a t u ŋ k ʏ r
miðskógar	m ɪ ð s k ou a r
miðskógslág	m ɪ ð s k ou ɣ l auː
miðskóla	m ɪ ð s k ou l a
miðsmorgunshóll	m ɪ ð s m ɔ r k ʏ n s h ou t l̥
miðsnesi	m ɪ ð s t n ɛ s ɪ
miðstakkatún	m ɪ ð s t a h k a t u n
miðstallur	m ɪ ð s t a t l ʏ r
miðstekkur	m ɪ ð s t ɛ h k ʏ r
miðstig	m ɪ ð s t ɪː ɣ
miðstjórnarvaldi	m ɪ ð s t j ou r t n a r v a l t ɪ
miðstrandareyri	m ɪ ð s t r a n t a r ei r ɪ
miðstrandará	m ɪ ð s t r a n t a r auː
miðstraumur	m ɪ ð s t r œyː m ʏ r
miðstræti	m ɪ ð s t r aiː t ɪ
miðstöð	m ɪ ð s t œ ð
miðstöðina	m ɪ ð s t œ ð ɪ n a
miðstöðinni	m ɪ ð s t œ ð ɪ n ɪ
miðstöðvarofnar	m ɪ ð s t œ ð v a r ɔ p n a r
miðstýringu	m ɪ ð s t i r i ŋ k ʏ
miðstýrða	m ɪ ð s t i r ð a
miðsvæðinu	m ɪ ð s v ai ð ɪ n ʏ
miðsvæðis	m ɪ ð s v ai ð ɪ s
miðsóknarafl	m ɪ ð s ou h k n a r a p l̥
miðtangavogur	m ɪ ð t au ŋ k a v ɔː ɣ ʏ r
miðtangi	m ɪ ð t au ɲ c ɪ
miðtappir	m ɪ ð tʰ a h p ɪ r
miðtaugakerfi	m ɪ ð tʰ œyː ɣ a c ɛ r v ɪ
miðtaugakerfinu	m ɪ ð tʰ œyː ɣ a c ɛ r v ɪ n ʏ
miðtaugakerfisins	m ɪ ð tʰ œyː ɣ a c ɛ r v ɪ s ɪ n s
miðtaugakerfið	m ɪ ð tʰ œyː ɣ a c ɛ r v ɪ ð
miðtaugarkerfi	m ɪ ð tʰ œyː ɣ a r c ɛ r v ɪ
miðteigur	m ɪ ð tʰ eiː ɣ ʏ r
miðtjarnarmýri	m ɪ ð t j a r t n a m iː r ɪ
miðtorfa	m ɪ ð t ɔ r v a
miðtorfugil	m ɪ ð t ɔ r ʏi j ɪ l
miðtorfulækur	m ɪ ð t ɔ r̥ f ʏ l aiː k ʏ r
miðtungugil	m ɪ ð t u ŋ k ʏ c ɪ l
miðtungugljúfur	m ɪ ð t u ŋ k ʏ ɣ l j u v ʏ r
miðtungulækur	m ɪ ð t u ŋ k ʏ l aiː k ʏ r
miðtungur	m ɪ ð t u ŋ k ʏ r
miðum	m ɪː ð ʏ m
miðunum	m ɪː ð ɔ n ʏ m
miður	m ɪː ð ʏ r
miðuð	m ɪː ð ʏ ð
miðuðu	m ɪː ð ʏ ð ʏ
miðuðust	m ɪː ð ʏ ð ʏ s t
miðvarða	m ɪ ð v a r ð a
miðvatn	m ɪ ð v a h t n̥
miðvatnsklif	m ɪ ð v a s k l ɪ v
miðveldin	m ɪ ð v ɛ l t ɪ n
miðveldunum	m ɪ ð v ɛ l t ɔ n ʏ m
miðvellir	m ɪ ð v ɛ t l ɪ r
miðverksins	m ɪ ð v ɛ r̥ k s ɪ n s
miðverði	m ɪ ð v ɛ r ð ɪ
miðverðirnir	m ɪ ð v ɛ r ð ɪ t n ɪ r
miðvestur	m ɪ ð v ɛ s t ʏ r
miðvesturríki	m ɪ ð v ɛ s t ʏ r i c ɪ
miðvikudag	m ɪ ð v ɪ k ʏ t aː ɣ
miðvikudaga	m ɪ ð v ɪ k ʏ t aː ɣ a
miðvikudagana	m ɪ ð v ɪ k ʏ t aː ɣ a n a
miðvikudaginn	m ɪ ð v ɪ k ʏ t ai j ɪ n
miðvikudags	m ɪ ð v ɪ k ʏ t a x s
miðvikudagskvöld	m ɪ ð v ɪ k ʏ t a x s k v œ l t
miðvikudagskvöldum	m ɪ ð v ɪ k ʏ t a x s k v œ l t ʏ m
miðvikudagsmorgni	m ɪ ð v ɪ k ʏ t a x s m ɔ r t n ɪ
miðvikudagurinn	m ɪ ð v ɪ k ʏ t aː ɣ ʏ r ɪ n
miðvikudegi	m ɪ ð v ɪ k ʏ t ei j ɪ
miðvíkurflögur	m ɪ ð v i k ʏ r f l œ ɣ ʏ r
miðvörð	m ɪ ð v œ r ð
miðvörðuhæð	m ɪ ð v œ r ð ʏ h aiː ð
miðvörður	m ɪ ð v œ r ð ʏ r
miðárfoss	m ɪː ð au r̥ f ɔ s
miðásar	m ɪː ð au s a r
miðástjarnarflói	m ɪː ð au s t j a r t n a r f l ouː ɪ
miðöldum	m ɪː ð œ l t ʏ m
miðþúfa	m ɪ ð θ u v a
mj	m j
mjakast	m j aː k a s t
